Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Type=Controlled; Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:04:37Z
Created_By	Taylor & Francis

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Communications in Soil Science and Plant Analysis	Taylor & Francis		Taylor & Francis Online	10.1080/lcss20	tandf:lcss20	0010-3624	1532-2416		Total_Item_Requests	2	2	0
Community College Journal of Research and Practice	Routledge		Taylor & Francis Online	10.1080/ucjc20	tandf:ucjc20	1066-8926	1521-0413		Unique_Item_Requests	1	1	0
Community College Journal of Research and Practice	Routledge		Taylor & Francis Online	10.1080/ucjc20	tandf:ucjc20	1066-8926	1521-0413		Total_Item_Requests	1	1	0
Community Development	Routledge		Taylor & Francis Online	10.1080/rcod20	tandf:rcod20	1557-5330	1944-7485		Unique_Item_Requests	1	1	0
Community Development	Routledge		Taylor & Francis Online	10.1080/rcod20	tandf:rcod20	1557-5330	1944-7485		Total_Item_Requests	3	3	0
Compare: A Journal of Comparative and International Education	Routledge		Taylor & Francis Online	10.1080/ccom20	tandf:ccom20	0305-7925	1469-3623		Unique_Item_Requests	5	5	0
Compare: A Journal of Comparative and International Education	Routledge		Taylor & Francis Online	10.1080/ccom20	tandf:ccom20	0305-7925	1469-3623		Total_Item_Requests	5	5	0
Computer Science Education	Routledge		Taylor & Francis Online	10.1080/ncse20	tandf:ncse20	0899-3408	1744-5175		Unique_Item_Requests	1	1	0
Computer Science Education	Routledge		Taylor & Francis Online	10.1080/ncse20	tandf:ncse20	0899-3408	1744-5175		Total_Item_Requests	1	1	0
Contemporary British History	Routledge		Taylor & Francis Online	10.1080/fcbh20	tandf:fcbh20	1361-9462	1743-7997		Unique_Item_Requests	1	1	0
Contemporary British History	Routledge		Taylor & Francis Online	10.1080/fcbh20	tandf:fcbh20	1361-9462	1743-7997		Total_Item_Requests	1	1	0
Contemporary Nurse	Routledge		Taylor & Francis Online	10.1080/rcnj20	tandf:rcnj20	1037-6178	1839-3535		Unique_Item_Requests	2	2	0
Contemporary Nurse	Routledge		Taylor & Francis Online	10.1080/rcnj20	tandf:rcnj20	1037-6178	1839-3535		Total_Item_Requests	2	2	0
Contemporary South Asia	Routledge		Taylor & Francis Online	10.1080/ccsa20	tandf:ccsa20	0958-4935	1469-364X		Unique_Item_Requests	1	1	0
Contemporary South Asia	Routledge		Taylor & Francis Online	10.1080/ccsa20	tandf:ccsa20	0958-4935	1469-364X		Total_Item_Requests	1	1	0
Continuum	Routledge		Taylor & Francis Online	10.1080/ccon20	tandf:ccon20	1030-4312	1469-3666		Unique_Item_Requests	1	1	0
Continuum	Routledge		Taylor & Francis Online	10.1080/ccon20	tandf:ccon20	1030-4312	1469-3666		Total_Item_Requests	2	2	0
Counselling Psychology Quarterly	Routledge		Taylor & Francis Online	10.1080/ccpq20	tandf:ccpq20	0951-5070	1469-3674		Unique_Item_Requests	8	8	0
Counselling Psychology Quarterly	Routledge		Taylor & Francis Online	10.1080/ccpq20	tandf:ccpq20	0951-5070	1469-3674		Total_Item_Requests	9	9	0
Creativity Research Journal	Routledge		Taylor & Francis Online	10.1080/hcrj20	tandf:hcrj20	1040-0419	1532-6934		Unique_Item_Requests	2	2	0
Creativity Research Journal	Routledge		Taylor & Francis Online	10.1080/hcrj20	tandf:hcrj20	1040-0419	1532-6934		Total_Item_Requests	4	4	0
Critical Asian Studies	Routledge		Taylor & Francis Online	10.1080/rcra20	tandf:rcra20	1467-2715	1472-6033		Unique_Item_Requests	1	1	0
Critical Asian Studies	Routledge		Taylor & Francis Online	10.1080/rcra20	tandf:rcra20	1467-2715	1472-6033		Total_Item_Requests	2	2	0
Critical Interventions	Routledge		Taylor & Francis Online	10.1080/rcin20	tandf:rcin20	1930-1944	2326-411X		Unique_Item_Requests	1	1	0
Critical Interventions	Routledge		Taylor & Francis Online	10.1080/rcin20	tandf:rcin20	1930-1944	2326-411X		Total_Item_Requests	1	1	0
